縣市名稱,測站名稱,經度,緯度,高度,創站日期(~截止日期),地址,下載網址1(不含日期),下載網址2(高度)
臺北市 (TaipeiCity),鞍部 (ANBU),121.5297,25.1825,837.6m,1937/01/01~,臺北市北投區陽明山竹子湖路111號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=466910&stname=%25E9%259E%258D%25E9%2583%25A8&datepicker=,&altitude=837.6m
臺北市 (TaipeiCity),臺北 (TAIPEI),121.5148,25.0376,5.3m,1896/01/01~,臺北市中正區公園路64號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=466920&stname=%25E8%2587%25BA%25E5%258C%2597&datepicker=,&altitude=5.3m
臺北市 (TaipeiCity),臺北(師院) (TAIPEI) (撤銷站),121.5132,25.0362,6.1m,1992/02/01~1997/09/01,臺北市中正區公園路,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=466921&stname=%25E8%2587%25BA%25E5%258C%2597(%25E5%25B8%25AB%25E9%2599%25A2)&datepicker=,&altitude=6.1m
臺北市 (TaipeiCity),竹子湖 (ZHUZIHU),121.5445,25.1620,607.1m,1937/01/01~,臺北市北投區陽明山竹子湖路2號,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=466930&stname=%25E7%25AB%25B9%25E5%25AD%2590%25E6%25B9%2596&datepicker=,&altitude=607.1m
臺北市 (TaipeiCity),社子 (Shezih),121.4696,25.1095,11m,1997/09/01~,臺北市士林區延平北路九段212號(臺北海洋科技大學內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A980&stname=%25E7%25A4%25BE%25E5%25AD%2590&datepicker=,&altitude=11m
臺北市 (TaipeiCity),科教館 (Science Education Center),121.5165,25.0963,60m,2021/12/13~,臺北市士林區士商路189號（士林科教館樓頂）,https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A770&stname=%25E7%25A7%2591%25E6%2595%2599%25E9%25A4%25A8&datepicker=,&altitude=60m
臺北市 (TaipeiCity),天母 (Tianmu),121.5371,25.1174,35m,1997/08/16~,臺北市士林區天母東路116號(三玉國小內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A9C0&stname=%25E5%25A4%25A9%25E6%25AF%258D&datepicker=,&altitude=35m
臺北市 (TaipeiCity),內湖 (Neihu),121.5754,25.0794,35m,1997/08/21~,臺北市內湖區內湖路一段520號(內湖高工內),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0A9F0&stname=%25E5%2585%25A7%25E6%25B9%2596&datepicker=,&altitude=35m
臺北市 (TaipeiCity),平等 (Pingdeng),121.5770,25.1291,426m,2016/06/19~,臺北市士林區平菁街101號(平等國小),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AH40&stname=%25E5%25B9%25B3%25E7%25AD%2589&datepicker=,&altitude=426m
臺北市 (TaipeiCity),松山 (Songshan),121.5504,25.0487,34m,2017/04/26~,臺北市松山區敦化北路1號(臺北市松山運動中心),https://e-service.cwb.gov.tw/HistoryDataQuery/DayDataController.do?command=viewMain&station=C0AH70&stname=%25E6%259D%25BE%25E5%25B1%25B1&datepicker=,&altitude=34m
